"Category" "x"
"5" "not" 139
"26" "old" 39
"4" "little" 34
"133" "when" 32
"52" "here" 28
"18" "very" 27
"68" "so" 25
"6" "now" 24
"87" "young" 24
"145" "then" 24
"35" "other" 23
"77" "great" 23
"59" "more" 21
"227" "such" 21
"11" "again" 20
"21" "dogged" 20
"48" "how" 20
"169" "never" 18
"51" "too" 16
"53" "why" 15
"118" "good" 15
"96" "quite" 14
"123" "much" 14
"170" "where" 14
"193" "back" 14
"213" "well" 14
"40" "rather" 13
"131" "most" 13
"212" "there" 13
"107" "same" 12
"71" "away" 11
"3" "just" 10
"79" "dear" 10
"149" "first" 10
"2" "fine" 9
"14" "up" 9
"127" "soon" 9
"168" "last" 9
"285" "many" 9
"13" "still" 8
"106" "only" 8
"120" "poor" 8
"150" "public" 8
"186" "common" 8
"311" "better" 8
"370" "far" 8
"8" "own" 7
"43" "down" 7
"45" "dead" 7
"72" "bad" 7
"74" "ill" 7
"110" "always" 7
"174" "white" 7
"192" "as" 7
"209" "long" 7
"313" "short" 7
"314" "deep" 7
"7" "once" 6
"29" "yes" 6
"41" "sly" 6
"67" "pleasant" 6
"70" "right" 6
"102" "low" 6
"153" "blind" 6
"189" "fierce" 6
"234" "afraid" 6
"237" "black" 6
"360" "yet" 6
"371" "least" 6
"382" "large" 6
"1" "ah" 5
"63" "enough" 5
"108" "empty" 5
"151" "thankless" 5
"162" "hard" 5
"165" "idle" 5
"166" "clever" 5
"185" "generally" 5
"194" "distant" 5
"195" "together" 5
"224" "whole" 5
"242" "jolly" 5
"248" "sometimes" 5
"301" "small" 5
"317" "even" 5
"394" "forth" 5
"28" "wild" 4
"32" "hot" 4
"44" "tall" 4
"61" "gentlemanly" 4
"80" "else" 4
"114" "obstinate" 4
"143" "lucky" 4
"144" "about" 4
"147" "cunning" 4
"148" "ever" 4
"167" "hideous" 4
"175" "certain" 4
"210" "out" 4
"257" "alone" 4
"275" "fast" 4
"290" "dark" 4
"300" "sorry" 4
"307" "larger" 4
"354" "perhaps" 4
"435" "interested" 4
"581" "hith" 4
"583" "angry" 4
"9" "sagacious" 3
"15" "valuable" 3
"16" "wonderful" 3
"17" "singular" 3
"65" "devilish" 3
"76" "weak" 3
"105" "sullen" 3
"111" "proud" 3
"117" "friendly" 3
"141" "quiet" 3
"142" "dull" 3
"181" "eyed" 3
"199" "quick" 3
"205" "further" 3
"220" "occasionally" 3
"225" "already" 3
"247" "worse" 3
"274" "stable" 3
"277" "sure" 3
"281" "worst" 3
"282" "hugh" 3
"291" "ready" 3
"315" "occasional" 3
"318" "odd" 3
"322" "high" 3
"329" "fearful" 3
"331" "usually" 3
"338" "principal" 3
"363" "dismal" 3
"378" "new" 3
"385" "immediately" 3
"387" "attentively" 3
"392" "asleep" 3
"415" "really" 3
"498" "big" 3
"508" "brown" 3
"514" "dirty" 3
"531" "immense" 3
"533" "wooden" 3
"576" "also" 3
"654" "advisable" 3
"696" "weal" 3
"727" "actually" 3
"10" "surprising" 2
"19" "backwards" 2
"27" "treacherous" 2
"37" "brutal" 2
"38" "finely" 2
"47" "suddenly" 2
"50" "single" 2
"60" "funny" 2
"75" "ungrateful" 2
"85" "audacious" 2
"90" "frightful" 2
"93" "merry" 2
"97" "decisively" 2
"101" "longer" 2
"104" "handsome" 2
"121" "silly" 2
"134" "somewhat" 2
"139" "fellow" 2
"146" "patiently" 2
"152" "worth" 2
"158" "complete" 2
"196" "directly" 2
"201" "conscious" 2
"206" "narrow" 2
"211" "strong" 2
"218" "hoarse" 2
"221" "open" 2
"228" "neighbouring" 2
"230" "certainly" 2
"244" "angrily" 2
"246" "subtle" 2
"253" "free" 2
"255" "lame" 2
"268" "probable" 2
"276" "positive" 2
"279" "striking" 2
"283" "pretty" 2
"292" "almost" 2
"295" "merely" 2
"299" "sooner" 2
"306" "faithful" 2
"308" "half" 2
"327" "various" 2
"336" "few" 2
"340" "alive" 2
"353" "wrong" 2
"356" "quilp" 2
"364" "fresh" 2
"365" "mournful" 2
"369" "behind.so" 2
"372" "surprised" 2
"381" "private" 2
"383" "hind" 2
"388" "eats.the" 2
"397" "broken" 2
"398" "disagreeable" 2
"400" "perfect" 2
"402" "artful" 2
"404" "drunk" 2
"408" "sally" 2
"422" "seriously" 2
"434" "intolerable" 2
"439" "busy" 2
"450" "legged" 2
"454" "deepest" 2
"455" "sacred" 2
"472" "jolliest" 2
